Series Name;ISO3;Country Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Non-wood forest products: average value per hectare per year (current US$);GAB;Gabon;4.6574893;4.737901211;4.833230019;4.898918152;4.981396198;5.114399433;5.409173012;5.663463116;5.900044441;6.095797062;6.396271229;6.690497398;6.927584171;7.113388062;7.204074383;7.348191261;7.534548759;7.703848362;7.883660793;8.073087692;8.220230103;8.30248642;8.614574432;8.976296425;9.189387321;9.665160179
Non-wood forest products: average value per hectare per year (current US$);GMB;Gambia;10.10432911;10.41063786;10.80755138;11.13941002;11.30525589;11.48713493;11.59535027;11.57007027;11.74966526;12.02313519;12.10229206;12.3661747;12.15671921;12.39570618;12.31176567;12.17432499;12.10615826;12.024436;11.3653698;11.08032894;11.18004131;11.3864851;11.78142834;12.0376358;12.40301418;12.57625008
Non-wood forest products: average value per hectare per year (current US$);GHA;Ghana;5.641605854;5.733104706;5.824155807;5.839222908;5.917620182;5.94719696;5.883950233;5.838532448;5.866142273;5.88696003;6.057808876;6.202035427;6.212451458;6.106277466;5.961806297;5.923326015;5.973484039;6.177669525;6.525094986;6.810255527;7.036249638;7.078899384;7.369394779;7.784347057;8.081110001;7.800204754
Non-wood forest products: average value per hectare per year (current US$);GIN;Guinea;6.340285301;6.516599655;6.682303429;6.808713436;6.997680187;7.243728638;7.544518948;7.774706841;8.028616905;8.359028816;8.761954308;9.197562218;9.564823151;9.904260635;10.11331177;10.33698463;10.69624424;10.94860268;11.01046467;11.10135841;11.18367481;11.26375484;11.47128487;11.69790077;11.68122005;11.36811829
Non-wood forest products: average value per hectare per year (current US$);GNB;Guinea-Bissau;9.39372921;9.65042305;9.939234734;10.13633823;10.3631258;10.6754694;10.84783173;11.01702976;11.25064182;11.51166534;11.47957802;11.5428915;11.5365448;11.69340611;11.7157793;11.7298584;11.78613853;11.70493507;11.42905807;11.41922092;11.55561543;11.65991306;11.88093472;12.14584351;12.4584322;12.70246029
Non-wood forest products: average value per hectare per year (current US$);KEN;Kenya;5.196175098;5.319987774;5.430343151;5.523737431;5.667185783;5.840032578;6.027381897;6.214679718;6.404376507;6.564180374;6.669965744;6.837166309;7.069820881;7.309449196;7.460191727;7.697146893;7.974882126;8.259100914;8.574055672;9.332420349;9.934105873;10.31483936;10.6650095;11.11140347;11.34496975;11.4473753
Non-wood forest products: average value per hectare per year (current US$);LSO;Lesotho;6.183590412;6.16718483;6.203962803;6.092188358;6.119463444;6.135297298;5.989161968;5.678770542;5.102505207;4.890133381;4.829001904;4.831436634;4.965337276;5.021973133;4.979906559;5.053440094;5.037416935;5.064955235;4.868886948;4.748596191;4.727719784;4.69978714;4.779076576;4.863772869;4.87391901;4.882192612
Non-wood forest products: average value per hectare per year (current US$);LBR;Liberia;8.009119034;8.25726223;8.477452278;8.539057732;8.636831284;8.714672089;8.789372444;8.910950661;9.058870316;9.124897957;9.112631798;9.075854301;9.13061142;9.27963829;9.411507607;9.669285774;10.00764656;10.32623482;10.54542351;10.73866844;10.81042957;10.84311676;11.0339365;11.30836487;11.52435875;11.06174278
Non-wood forest products: average value per hectare per year (current US$);LBY;Libya;4.803503513;5.090996265;5.245233059;5.60462141;5.839656353;6.022584438;6.495154858;6.816465378;6.976318359;7.261418343;7.530909538;7.792819977;8.298863411;8.577214241;8.663314819;8.857224464;9.071429253;9.300403595;9.555977821;9.850793839;10.01212978;10.42612171;10.65835571;10.9823885;11.17894268;11.16422272
Non-wood forest products: average value per hectare per year (current US$);MDG;Madagascar;2.757512569;2.842277765;2.929969311;2.974134445;3.027760506;3.119991064;3.289688826;3.470170736;3.633888721;3.837923288;4.100678444;4.412520885;4.737130165;5.001774311;5.252830982;5.584469318;6.003652573;6.398509502;6.88659811;7.277224541;7.52508688;7.8699646;8.327087402;8.625162125;8.886325836;9.0788517
Non-wood forest products: average value per hectare per year (current US$);MWI;Malawi;3.774580717;3.894043207;4.014303207;4.089010239;3.886458158;4.150388241;4.368415833;4.560139656;4.90490818;5.266009808;5.85399437;6.412699223;6.856318951;7.488082886;7.909538269;8.327116013;8.894809723;9.377606392;10.02391052;10.51189327;10.75614262;11.28502083;11.62253571;12.01374435;12.11528683;11.89694691
Non-wood forest products: average value per hectare per year (current US$);MLI;Mali;3.909584761;4.052752972;4.17079258;4.330262661;4.499854088;4.724808693;5.341162205;5.666903496;6.072541714;6.428212166;6.797795773;7.176548004;7.566307545;7.882582188;8.111617088;8.411395073;8.774891853;9.108187675;9.308633804;9.499314308;9.761366844;9.898758888;10.22149563;11.08515072;11.2145195;11.28665638
Non-wood forest products: average value per hectare per year (current US$);MRT;Mauritania;2.885276556;2.993305445;3.089056253;3.192372084;3.293306351;3.457674265;3.589137554;3.669529676;3.788116217;3.926390409;4.085686207;4.262384415;4.415926933;4.525818348;4.544202805;4.609473228;4.749746323;4.853733063;4.946959019;5.063365936;5.121982098;5.169651508;5.313938618;5.502729893;5.965791702;6.045200825
Non-wood forest products: average value per hectare per year (current US$);MUS;Mauritius;20.59942436;20.98027611;21.36765099;19.83857346;20.12850571;20.37520981;20.81464386;21.2148037;21.77184105;22.38453293;23.61013794;25.94513321;22.93728065;23.46905708;23.64443398;25.02931786;26.88900566;28.47965813;28.95468903;30.203022;30.78860855;31.1380024;31.71593094;32.49577713;32.95516205;33.35396194
Non-wood forest products: average value per hectare per year (current US$);MYT;Mayotte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Non-wood forest products: average value per hectare per year (current US$);MAR;Morocco;8.69141674;8.54557991;8.125852585;7.727224827;7.601381779;7.66437006;7.623893261;7.645694733;7.676526546;7.748847961;7.790486336;7.743338108;7.621814251;7.467011452;7.19346714;6.875141144;6.982326031;6.9652915;6.91569376;6.944756031;7.005749702;7.096925259;7.208925247;7.475324631;7.641639709;7.772289753
Non-wood forest products: average value per hectare per year (current US$);MOZ;Mozambique;3.872538805;4.038684368;4.233937263;4.422962189;4.646297932;5.000762939;5.356694221;5.67556715;5.979572296;6.338293552;6.81083107;7.321591854;7.771171093;8.102336884;8.311998367;8.536698341;8.856628418;9.144783974;9.341747284;9.604964256;9.786014557;9.96274662;10.16844559;10.45142269;10.6118536;10.54355907
Non-wood forest products: average value per hectare per year (current US$);NAM;Namibia;3.636434793;3.761238337;3.922107935;4.056146622;4.165431499;4.347905159;4.469687462;4.547615528;4.641305923;4.776693344;4.954641342;5.129052162;5.269225597;5.386454105;5.445836544;5.513394833;5.636701107;5.747001171;5.867521286;6.033555031;6.137523174;6.225993156;6.430339813;6.607972145;6.577832222;6.649494171
Non-wood forest products: average value per hectare per year (current US$);NER;Niger;5.566378117;5.801001549;6.003214359;6.056890965;6.351100445;5.832124233;6.226682663;6.512341976;6.782200336;7.122628689;7.654499531;8.13537693;8.410773277;8.699239731;8.881671906;9.153606415;9.583345413;9.998084068;10.34691429;10.68345642;10.89659214;11.19484043;11.4639473;11.95968914;11.65311241;11.60983086
Non-wood forest products: average value per hectare per year (current US$);NGA;Nigeria;6.880627155;7.283894062;7.70014286;8.044151306;8.327105522;8.793513298;9.047939301;9.50660038;10.01996708;10.71249962;11.07279873;11.56370258;12.07958126;12.40632725;12.51020622;12.74502087;13.15203667;13.44094181;13.64581108;13.8030386;13.9807024;13.91946793;14.16680717;14.54454803;14.69275093;14.44803143
Non-wood forest products: average value per hectare per year (current US$);COG;Republic_of_Congo;5.14765358;5.317193985;5.441287041;5.944850922;6.060237885;6.217355728;6.413451195;6.516778469;6.606561184;6.790344238;6.822562218;7.007798195;7.169577599;7.272090912;7.121865749;6.892635345;6.720180035;6.684412956;6.735650539;6.825277328;6.858437061;6.752257824;7.009321213;7.298184872;7.427350044;7.841777802
Non-wood forest products: average value per hectare per year (current US$);REU;Reunion;34.85723114;35.73480225;36.3315773;34.08584213;34.83575821;35.55456924;36.18732452;36.88554001;37.86515045;38.7899437;40.87705612;44.51086044;40.06628418;40.74414444;41.15824509;41.94231415;46.53513336;49.45156479;50.30465317;51.86820984;54.0675621;54.72998047;55.82204056;57.25336456;58.63267899;59.46043396
Non-wood forest products: average value per hectare per year (current US$);RWA;Rwanda;11.26265907;11.66942406;12.05619526;12.33723259;12.67511749;13.13942337;14.78217125;15.51581955;15.70714569;16.0805912;15.2810955;15.33274174;15.74944592;16.00074768;15.58338356;15.08166122;14.48077297;14.15758324;13.70409393;12.14500141;11.93107319;12.94321156;14.12900448;16.03495407;18.38229179;19.76282883
Non-wood forest products: average value per hectare per year (current US$);SHN;Saint_Helena;7.563981056;6.430891991;5.565364838;5.639625549;5.594485283;5.677490234;5.69413805;5.966311455;6.100677967;5.72371912;5.547865868;5.719049454;5.741206169;5.82015419;5.642621517;5.799890041;5.839630127;5.968793392;5.982389927;5.781321526;5.438511372;5.434400558;5.537539482;5.62597084;5.726605415;5.673449039
Non-wood forest products: average value per hectare per year (current US$);STP;Sao_Tome_and_Principe;8.47873497;8.739515305;9.046941757;9.131604195;9.640050888;9.95589447;10.5349493;9.406303406;9.381561279;10.27487183;10.78515148;11.56157684;12.05850887;12.68807793;13.1384306;13.37247181;13.52176094;14.24136829;14.48757172;14.65953922;15.6913805;15.86373711;16.20225143;16.38868713;16.70363235;17.07513618
Non-wood forest products: average value per hectare per year (current US$);SEN;Senegal;7.48581171;7.785813808;8.049061775;8.313584328;8.491829872;8.790727615;9.015406609;9.176212311;9.467311859;9.82098484;10.10292339;10.35281944;10.53568172;10.90416336;10.99516106;11.13969421;11.31660461;11.65900421;11.76143074;12.13161373;12.35697556;12.57417393;12.88984013;13.19480419;13.46829033;13.68985748
Non-wood forest products: average value per hectare per year (current US$);SYC;Seychelles;11.15538216;11.36713696;11.57370377;11.75605965;12.00901031;12.31469536;12.52244377;12.72854805;13.51476192;13.97563457;14.37198353;14.81254196;15.23760891;15.55055046;15.66277504;15.88203335;15.89975929;16.15027046;16.34920692;16.46478271;16.46604538;16.53538322;16.83445358;17.21925354;17.6494503;17.86216164
Non-wood forest products: average value per hectare per year (current US$);SLE;Sierra_Leone;6.678917408;6.930282116;7.209882736;7.459713459;7.707852364;8.074397087;8.434537888;8.715125084;9.055002213;9.301280975;9.519089699;9.420614243;9.400030136;9.382982254;9.291406631;9.309183121;9.443201065;9.541401863;9.66006279;9.732566833;9.747920036;9.809594154;9.975599289;10.18628407;10.35552216;10.52540398
Non-wood forest products: average value per hectare per year (current US$);SOM;Somalia;4.275057793;4.31538105;4.35903883;4.409395695;4.492205143;4.582371712;4.665596962;4.719897747;4.7933321;4.940788746;5.083761692;5.253050327;5.398018837;5.509483337;5.538262367;5.623027802;5.738999367;5.828280449;5.980123997;6.18751955;6.291966438;6.468682289;6.681061745;6.871423244;7.602104187;8.575230598
Non-wood forest products: average value per hectare per year (current US$);ZAF;South_Africa;6.569219589;6.659894466;6.730899334;6.782898426;6.889928341;6.98175621;7.067914963;7.156433582;7.24871397;7.376187325;7.50053215;7.657514572;7.705358505;7.64489603;7.482729435;7.448977947;7.544712067;7.569149494;7.287858009;7.248066902;7.276335239;7.2926898;7.317445755;7.432853222;7.383048534;7.011568069
Non-wood forest products: average value per hectare per year (current US$);SSD;South_Sudan;0.283403814;0.289214492;0.296042114;0.300495267;0.306998461;0.317276448;0.327032387;0.333203316;0.342372775;0.350783229;0.362200826;0.375455499;0.387373388;0.399357408;0.405281037;0.414675921;0.430766314;0.449122727;0.468805611;0.491583467;0.507956564;0.533993602;0.551244974;0.577832758;0.604960799;0.691905797
Non-wood forest products: average value per hectare per year (current US$);SDN;Sudan;5.380853176;5.510961533;5.655116558;5.764072895;5.882529259;6.060190201;6.190068245;6.292741299;6.387452126;6.595089436;6.75568676;6.955898285;7.24298048;7.352838516;7.375849247;7.545014858;7.848092556;8.216377258;8.776831627;9.29631424;9.739017487;10.01501369;10.46821213;10.9243288;11.70747089;11.51866722
Non-wood forest products: average value per hectare per year (current US$);SWZ;Swaziland;4.58281374;4.50751543;4.484413147;4.447003841;4.458599091;4.536334515;4.54973793;4.664831161;4.760496616;4.794854164;4.958257198;5.267037392;5.304950237;5.388858795;5.426691055;5.517559528;5.617954254;5.659798145;5.696117401;5.829622746;5.977323532;6.076952457;6.279446125;6.522362709;6.709592342;6.850503922
Non-wood forest products: average value per hectare per year (current US$);TZA;Tanzania;2.506982327;2.607011318;2.700591564;2.768800497;2.836235046;2.965930223;3.157329082;3.265715599;3.428052187;3.612960339;3.826177835;4.054036617;4.312393665;4.527731419;4.677226543;4.817437172;5.004095554;5.243533134;5.531299591;5.836503506;6.04863596;6.269070625;6.455800056;6.683258057;6.91391325;6.900554657
Non-wood forest products: average value per hectare per year (current US$);TGO;Togo;4.932830334;5.063768864;5.159830093;5.275578022;5.262505054;5.31926775;5.297950745;5.400063515;5.594200611;5.806625843;5.860786915;6.172483921;6.402452469;6.754410744;7.020334244;7.563157082;8.328561783;9.046147346;9.794934273;10.47759533;11.08404922;11.70392704;12.58312988;13.45184326;14.15121937;14.60594177
Non-wood forest products: average value per hectare per year (current US$);TUN;Tunisia;6.361136436;5.278368473;5.12369585;4.940351486;5.067395687;5.198130131;5.198625565;5.271513462;5.421922207;5.518101692;5.676028728;5.85097599;5.928516388;5.964861393;5.816142559;5.675656796;5.586481094;5.51343441;5.403839111;5.40456152;5.486564636;5.634530544;5.821792603;6.064299107;6.356637478;6.918809414
Non-wood forest products: average value per hectare per year (current US$);UGA;Uganda;6.967476845;7.169219017;7.361553669;7.527598858;7.737961769;7.975273132;8.714021683;9.003517151;9.10926342;9.179028511;9.248143196;9.335988998;9.367733002;9.454888344;9.398507118;9.387597084;9.566313744;9.756824493;10.05596924;10.3785305;10.79826546;11.45773697;12.30966187;13.31389904;14.28417015;14.7671814
Non-wood forest products: average value per hectare per year (current US$);ZMB;Zambia;4.117499352;4.240246296;4.371207237;4.471624851;4.564487934;4.712964058;4.898835182;5.050418854;5.205668449;5.425172806;5.712194443;5.958573818;6.204611301;6.430339336;6.583235741;6.715609074;6.92081213;7.149530411;7.506568432;7.868971825;8.160596848;8.625567436;9.14106369;9.5245924;9.962545395;10.19161129
Non-wood forest products: average value per hectare per year (current US$);ZWE;Zimbabwe;11.16080761;11.53731537;11.89073086;12.12588406;12.4267807;12.76836777;13.04623795;13.25864887;13.52624416;13.89334869;14.27949715;14.84383965;15.2019701;15.32288074;15.43212986;15.63924217;16.16628265;16.51434326;16.7133522;17.11968613;17.50522041;18.08524323;18.75638008;19.4654808;19.89294624;20.25017166
Non-wood forest products: average value per hectare per year (current US$);SGS;South_Georgia_and_the_South_Sand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Non-wood forest products: average value per hectare per year (current US$);AFG;Afghanistan;5.155948162;5.380999088;5.639077663;5.861559391;6.125370502;6.51752615;7.28138113;7.729382992;6.947207928;6.788048744;7.474235535;8.282616615;9.170508385;10.19304371;11.04947376;11.57442951;11.45514297;11.43951607;11.91322899;12.36208916;12.67750263;13.0606699;13.4696312;13.89197731;14.17833424;14.50125504
Non-wood forest products: average value per hectare per year (current US$);ARM;Armenia;2.752537966;2.782546759;2.725124359;2.720917702;2.763546944;2.754472733;2.780555248;2.810581923;2.8526721;2.930091619;3.049287558;3.12400794;3.174336672;3.316206932;3.189691782;3.173759222;3.222473383;3.23878336;3.30412817;3.28203392;3.328994751;3.352757454;3.415400267;3.493547201;3.559285402;3.613971949
Non-wood forest products: average value per hectare per year (current US$);AZE;Azerbaijan;3.913515806;3.94535923;3.924129963;3.820739746;3.711785078;3.608703136;3.439936399;3.360667706;3.355227709;3.386874437;3.387033701;3.383793592;3.417825937;3.475563765;3.506542206;3.475293159;3.511378765;3.585659504;3.63278079;3.616361618;3.640574932;3.696616173;3.741213799;3.788832188;3.881678343;3.940848827
Non-wood forest products: average value per hectare per year (current US$);BHR;Bahrain;8.337706566;8.422289848;8.490512848;8.948897362;9.38282299;8.942142487;8.842589378;9.002371788;9.689536095;9.81562233;10.06462097;10.16707516;10.59999752;11.0907383;11.44354248;13.3907814;14.41980362;14.60934162;14.671978;14.86973;14.10411644;13.92308617;14.05873489;14.27439976;14.42410088;15.58553696
Non-wood forest products: average value per hectare per year (current US$);BGD;Bangladesh;17.49483109;17.79182434;17.95468521;18.09464836;18.32236862;18.76374245;19.00562286;18.11961365;18.28803253;18.10344696;18.24505806;17.811203;17.37382126;17.30978775;17.02956963;16.95591927;17.0658226;17.0282383;16.2491188;14.95455933;14.54748535;14.60823441;14.79265881;15.06848431;15.28679085;15.2719059
Non-wood forest products: average value per hectare per year (current US$);BTN;Bhutan;10.85756588;11.13293839;11.39387894;11.59451485;11.87384224;12.3085022;12.81664944;13.30684566;13.58432102;13.82764053;14.07813549;14.09405804;14.44706821;14.7694664;14.73317051;14.7695179;14.87321281;14.99747562;15.16364098;13.4278841;13.28902149;13.35051346;13.47352219;13.57039738;13.63042068;13.56250668
Non-wood forest products: average value per hectare per year (current US$);BRN;Brunei;4.260859489;4.53074789;4.743626595;4.976682663;5.156229973;5.345689297;5.616435051;5.84691143;6.104673862;6.423936367;6.82294178;7.119895935;7.345580578;7.499978065;7.765674114;8.000185966;8.247997284;8.473698616;8.557411194;8.656851768;8.710781097;8.674684525;8.753712654;8.944765091;9.043288231;9.056015015
Non-wood forest products: average value per hectare per year (current US$);KHM;Cambodia;5.712734222;5.833171368;5.992656231;6.156843662;6.438943386;6.804692745;7.345346451;7.840314865;8.105295181;8.304333687;8.864927292;9.643797874;10.36596584;10.64727592;10.43898201;10.17051315;10.66846848;11.3883152;11.94284058;12.20224762;12.4920578;13.21752357;13.81088543;14.51936913;15.10901833;15.58782673
Non-wood forest products: average value per hectare per year (current US$);CHN;China;14.54766846;14.76369762;14.96617699;15.03655338;15.1552372;15.41351891;15.43732738;15.29891586;15.25250816;15.46783829;15.66996384;15.81670666;15.92360973;15.97420502;15.85003567;15.8500433;16.01321983;16.11457253;16.16657257;16.28759575;16.38573647;16.55373192;16.623909;16.90426826;17.18752289;17.31830025
Non-wood forest products: average value per hectare per year (current US$);CXR;Christmas_Island;32.10937119;32.69728088;33.26111603;33.6354866;34.14213943;34.91566849;35.70228577;36.25870132;36.28318787;37.10055542;38.67325974;39.86655045;40.94397354;41.72925568;42.05839539;42.38057709;42.82263565;43.62366104;44.38750839;45.21751404;45.66992188;46.12761688;47.27005768;48.16697693;49.02856064;49.61945343
Non-wood forest products: average value per hectare per year (current US$);CYP;Cyprus;17.71335983;18.83066559;19.42469788;20.10521698;21.00655365;21.58281136;21.89357758;21.74026108;22.0266304;22.64353752;23.35251999;24.32683182;25.16517639;25.88603592;26.15303993;26.43481255;26.95765305;27.37425995;26.83320045;26.27650642;25.96315384;26.32391739;26.10823822;26.24352837;26.7456131;27.02245331
Non-wood forest products: average value per hectare per year (current US$);TLS;East_Timor;8.644593239;9.019774437;9.33071804;9.603704453;10.04370308;10.48267841;10.77518272;11.00752258;11.17794704;11.47031879;11.85001469;12.21686172;12.45673275;12.74938869;12.95625973;13.25912666;13.62274551;13.91419601;14.31194496;14.71808243;14.74573803;15.25449944;15.65632343;16.19737244;16.35764694;16.64437103
Non-wood forest products: average value per hectare per year (current US$);GEO;Georgia;2.680290937;2.706269026;2.749640703;2.765206814;2.817990065;2.934283495;3.006502867;2.980609179;3.010992765;3.035526037;3.025402546;3.102168322;3.221567869;3.211386204;3.20997262;3.247953415;3.297311783;3.325189114;3.372483969;3.414316177;3.456953764;3.471563101;3.538680792;3.6240592;3.713709831;3.71962285
Non-wood forest products: average value per hectare per year (current US$);HKG;Hong_Kong;23.06410408;24.21430016;23.59148788;22.85460663;25.20386887;23.00630379;23.179636;21.08830833;20.55602264;20.56882668;21.07352448;21.68526077;22.26649094;22.99707603;23.32884026;23.90678215;24.8167057;25.37496567;26.14724731;26.86468697;27.13266373;27.34762955;28.18628311;28.85072899;29.3987999;29.74988174
Non-wood forest products: average value per hectare per year (current US$);IND;India;15.39073849;15.64796162;15.89342785;15.9909296;16.15022659;16.40856171;15.50696945;14.9396677;14.74219799;14.58040619;14.74200249;14.91034603;14.94388485;14.78201962;14.5429945;14.51717949;14.6221714;14.69806576;14.25364304;13.76500702;13.55698681;13.58755398;13.65827751;13.79991436;13.85891342;13.85193634
